"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",202.171219,1.19099141652603,11.1725701763386,177.305025,195.373,203.007,210.37425,220.631775,88.0012658598103,1.03642193987412
"gamma[1]",0.2648718833,0.00799277045811561,0.142954798052899,0.0922902125,0.16279075,0.2251705,0.3289355,0.6231801,319.89156685157,1.02203954328533
"gamma[2]",0.269914040615,0.00644655583275987,0.174443790958693,0.0254629325,0.13740075,0.2347545,0.375481,0.672131575,732.243517090967,1.003135017488
"gamma[3]",0.4652140745395,0.00920211293091686,0.210189842668143,0.036569295,0.31609025,0.494498,0.6372185,0.784905525,521.733030859295,1.0079739003835
"turnover[1]",1.51860315,0.00271626961538607,0.0808427194571169,1.34980675,1.478315,1.511105,1.5611575,1.691788,885.800818765791,0.999995129695559
"turnover[2]",27.104245295,0.379404592376732,8.58497805001525,17.3819825,24.04955,25.15845,27.359325,51.7730425,512.003832112729,1.00300365476949
"turnover[3]",1076.1333995,35.8116157157381,555.327452430025,465.262125,947.5535,999.0505,1052.23,2645.47449999999,240.464214941685,1.00965701078233
"a21[1]",0.39384588425646,0.0151514258095129,0.260044111509475,0.0003733907,0.1590705,0.387982,0.62100625,0.8450667,294.569000222839,1.00420568077735
"a21[2]",0.46369917580786,0.0184262202969781,0.281182877748757,0.0004463675,0.22512775,0.473591,0.70909475,0.91029035,232.865539551329,1.00482087070358
"a21[3]",0.328331889689577,0.0125560509353148,0.221633269895201,8.16396325e-05,0.1387025,0.309633,0.5019435,0.7642719,311.575836910933,1.00393024217742
"a21[4]",0.305164074164517,0.0115697067475631,0.20515755670852,0.0003063391,0.1326215,0.292258,0.46122625,0.709085775,314.434603523441,1.00596040666036
"a21[5]",0.342205731335403,0.0131313296454824,0.221560758561989,0.000611937025,0.15548275,0.338002,0.5153095,0.75473175,284.687421558254,1.00671908785305
"a31[1]",0.442327843373111,0.0178662197712477,0.275652550446147,0.000568959375,0.1973575,0.448289,0.677232,0.89667225,238.044793122753,1.004422865167
"a31[2]",0.450081185802584,0.0197301247164865,0.292569928961961,0.000261075425,0.19671825,0.44427,0.69516475,0.94286285,219.887079723094,1.00492736918552
"a31[3]",0.377206736932701,0.0167570284507565,0.246383375366962,6.17553525e-05,0.1620895,0.3800245,0.57507725,0.828510575,216.186607870664,1.00563092905768
"a31[4]",0.326687988278699,0.0156144195910701,0.227991491640605,1.582962e-05,0.127164,0.3048775,0.496192,0.792319675,213.199208885594,1.00596699160777
"a31[5]",0.362588558956342,0.0171065829152845,0.244286250322752,4.507105e-05,0.15156975,0.3504265,0.55735675,0.8195152,203.92548938589,1.00669245118654
"a12[1]",0.362397524844056,0.0132468684627974,0.254400669964789,0.00141515475,0.141958,0.332436,0.555562,0.86967605,368.816254895214,1.00314588117322
"a12[2]",0.302745896526244,0.0105795642849338,0.216337854944493,0.001009399025,0.11344125,0.273772,0.46163475,0.73420985,418.147471329445,1.00209779046126
"a12[3]",0.351086378639572,0.0131685458687013,0.256385114154787,0.00280253375,0.1292685,0.3122445,0.55624825,0.864246,379.061756593466,1.00259374888918
"a12[4]",0.332305100598729,0.0122462348049879,0.245990419495883,0.0005214097,0.12555025,0.2861015,0.513938,0.846737525,403.488556332001,1.00109858548603
"a12[5]",0.33360536147948,0.0120101095173628,0.243798281937517,0.0009350496,0.12025575,0.30057,0.51030925,0.847355625,412.066535489143,1.00156636793975
"a32[1]",0.321011632470512,0.0116657848580465,0.242968540273579,2.95535925e-05,0.105625,0.286957,0.507781,0.809737749999999,433.782635766944,1.00369081452178
"a32[2]",0.255710154100509,0.0105264190914518,0.210639966853513,2.89324575e-05,0.0691612,0.2201635,0.41160525,0.71157085,400.424131301863,1.00360944799841
"a32[3]",0.335129575146803,0.0122674256088119,0.254435769900287,0.0007275192,0.11106125,0.296863,0.52546275,0.8559827,430.179259046016,1.00304573621152
"a32[4]",0.278132396672305,0.0107457038587915,0.230717416459989,3.19676825e-05,0.078909225,0.2322565,0.43011025,0.786771099999999,460.989490383241,1.00398135753925
"a32[5]",0.289272178362495,0.0110039369001134,0.230018935418942,0.000792298975,0.08766755,0.24937,0.44966425,0.785934175,436.949247247971,1.00198801148464
"a13[1]",0.335708958824965,0.0168591295235327,0.258465955041811,0.001517927,0.1117525,0.285843,0.52034325,0.90624225,235.037088125893,1.01193007737484
"a13[2]",0.32927345261275,0.0159798617859501,0.258000003348342,0.0010893875,0.11176825,0.2795505,0.50684375,0.910168725,260.671400859441,1.0122675057981
"a13[3]",0.340062953547072,0.0174453673988849,0.264806700182329,0.00023946355,0.10789875,0.285258,0.528199,0.92546,230.408076724352,1.01463611867683
"a13[4]",0.332135648568951,0.0166568538048177,0.258897401562442,0.00078428185,0.11935,0.2756145,0.4972075,0.917491225,241.584705063244,1.01499013670798
"a13[5]",0.33112555603447,0.0167794820882142,0.257166530064852,9.7497735e-05,0.116818,0.27757,0.50026775,0.8988038,234.893925745897,1.0142859556884
