"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",205.893076,2.57098975786758,13.2240919606344,174.387025,197.269,208.234,215.45475,226.7213,26.4564170644227,1.15608006092241
"gamma[1]",0.1608845213,0.0050610585772831,0.0932025520538368,0.0654890125,0.098077775,0.1323925,0.1912305,0.421792725,339.135209147762,1.00708594822636
"gamma[2]",0.284710734837,0.00715024767266806,0.187970148647283,0.024211065,0.1430445,0.241584,0.3937495,0.74795985,691.091575877898,1.00163463810625
"gamma[3]",0.554404733851,0.00851845687479246,0.209509398589627,0.068270575,0.4321265,0.595004,0.7202015,0.841774375,604.902197420838,1.0003500329269
"turnover[1]",1.5422754805,0.00398469607859689,0.106392846967207,1.32758525,1.4874575,1.5213,1.601305,1.7806475,712.90958835545,1.00211053367743
"turnover[2]",27.480300755,0.455501086656042,9.90954085148692,17.641635,24.3281,25.1952,27.418075,52.1874075,473.290982420373,1.00390008121783
"turnover[3]",1099.337668,36.3371932020794,773.607650930139,493.332025,951.02925,1004.49,1065.14,2346.08725,453.250984884643,1.00418968361046
"a21[1]",0.210319348615276,0.0285567614473567,0.19401543377505,4.16665825e-18,0.0383891,0.1599065,0.339364,0.6542304,46.158814995617,1.06822322226179
"a21[2]",0.298170659337978,0.0400322799661188,0.251334492532582,2.173955e-88,0.0528612,0.258129,0.5084535,0.780395324999999,39.4169973232504,1.0871145961339
"a21[3]",0.217860572108597,0.0292628869407523,0.199154947090542,4.42292425e-34,0.0353429,0.179955,0.35233425,0.6743485,46.3177931724353,1.07177622019257
"a21[4]",0.250585922585036,0.0330825636665395,0.216857086423581,2.134097e-19,0.044990075,0.217559,0.40591925,0.7121843,42.9683743580737,1.07810909645509
"a21[5]",0.317906921522492,0.0427195181434708,0.256621112852625,1.60573425e-24,0.0687839,0.2931885,0.52612175,0.8064488,36.0854459843494,1.09418648317934
"a31[1]",0.322626460920498,0.0250625207457705,0.227962295263906,0.0006641673,0.128124,0.2972635,0.48873125,0.80137865,82.7325752927132,1.03870610356541
"a31[2]",0.455350082337965,0.0385630876480227,0.262310484018336,0.0034565205,0.233966,0.480986,0.67015425,0.88621365,46.2687427491131,1.07342177503385
"a31[3]",0.309218022544789,0.0191038012243941,0.225326787028812,0.000881190425,0.12059275,0.274973,0.47732225,0.7879415,139.118878153986,1.04150115692374
"a31[4]",0.359402383228297,0.030813248658836,0.238805972123807,0.001375879,0.1523445,0.3399055,0.54342525,0.8253402,60.0641575054854,1.05284536567157
"a31[5]",0.440855114683621,0.0415322661358048,0.26890455989282,0.002286972,0.20303025,0.4623875,0.6634555,0.88606995,41.9203670793235,1.07893789374399
"a12[1]",0.314841066907237,0.0141962045114241,0.248601070533195,7.89576825e-05,0.108817,0.2667195,0.4891215,0.8604725,306.663080942285,1.020541327982
"a12[2]",0.351405860343186,0.0179183559741586,0.262896019939825,1.6461235e-06,0.126047,0.3185435,0.5443715,0.8888691,215.26414672829,1.02217922952763
"a12[3]",0.31971511501389,0.0179371105500892,0.25499190450915,6.4605955e-06,0.100404875,0.26979,0.50065375,0.86471255,202.091392192945,1.02404398758188
"a12[4]",0.326936657301064,0.0188986264926051,0.256708080517788,1.20612325e-05,0.10532775,0.279126,0.5225105,0.865211325,184.509441849825,1.02557432973718
"a12[5]",0.324412020576572,0.0189517316695114,0.248959424254475,9.50932875e-07,0.10982975,0.2778565,0.510009,0.85279365,172.567633882991,1.02891890652022
"a32[1]",0.398360496336167,0.0145382204801063,0.268811010479598,0.000661420525,0.169997,0.38146,0.61369175,0.9138794,341.878354562605,1.00716814354642
"a32[2]",0.374919459278508,0.0151560147749117,0.260247885096307,0.00064027265,0.14630375,0.361857,0.57891275,0.8711457,294.852203596959,1.0133141226295
"a32[3]",0.30478513220116,0.0120035827301622,0.232857297908693,0.000819621075,0.1079085,0.269145,0.47292125,0.809891525,376.32054333218,1.0058934141268
"a32[4]",0.342698701138527,0.013814528347242,0.249810359115971,0.000225589875,0.121104,0.3152885,0.5300055,0.85361115,327.000761163193,1.01025203538003
"a32[5]",0.305688340154999,0.012684577069903,0.227845743595718,0.000335340525,0.105074,0.281341,0.47421325,0.785780325,322.648653313852,1.01387989787069
"a13[1]",0.323905268332037,0.0123795855072282,0.251240505818175,0.0002160773,0.10461025,0.276746,0.505874,0.848573349999999,411.876591804725,1.00862775638299
"a13[2]",0.325229879436511,0.0119601877713183,0.251654612350237,0.001067102,0.10572275,0.279947,0.51067375,0.854320475,442.724741668281,1.00548594772987
"a13[3]",0.323933095188547,0.0116734139561634,0.253951104570433,0.00041631765,0.103301,0.27076,0.514987,0.872838425,473.26505621913,1.00588557066119
"a13[4]",0.323957993442337,0.0120633903598919,0.248462567231154,3.55427475e-05,0.10935575,0.2796485,0.50423225,0.843951325,424.21221890064,1.00713204010043
"a13[5]",0.318782822869967,0.0113694970896622,0.244984179519444,0.0003232177,0.110047,0.278985,0.4808295,0.84548515,464.29453254012,1.00585950871394
